bar,mx,my,mz,ax,ay,az,p,q,r
97375.046875,-0.444272,-0.114503,0.888544,-0.573008,-0.540676,-9.818382,-0.003196,-0.000266,0.000533
97381.484375,-0.438556,-0.118073,0.890914,-0.574805,-0.553249,-9.812993,-0.002663,-0.003196,-0.001864
97381.140625,-0.441200,-0.115227,0.889980,-0.580193,-0.562231,-9.818382,0.000533,-0.002131,0.001864
97377.140625,-0.433960,-0.113801,0.893716,-0.565823,-0.546064,-9.802216,-0.001065,0.000533,-0.000533
97380.921875,-0.440138,-0.111563,0.890973,-0.585582,-0.547861,-9.814790,-0.000266,0.000000,-0.003196
97381.257812,-0.437189,-0.109678,0.892657,-0.578397,-0.546064,-9.805808,-0.001065,-0.000266,-0.002397
97377.921875,-0.440585,-0.114736,0.890349,-0.585582,-0.565823,-9.830956,-0.001864,-0.003995,-0.003462
97384.437500,-0.441247,-0.114115,0.890101,-0.569416,-0.535287,-9.789641,0.000000,-0.000533,0.001598
97378.265625,-0.438597,-0.105447,0.892476,-0.585582,-0.524509,-9.802216,-0.005859,-0.001864,-0.006125
97378.265625,-0.447313,-0.114892,0.886967,-0.578397,-0.556842,-9.804012,-0.001065,0.000000,-0.003995
97382.335938,-0.442103,-0.121124,0.888748,-0.589175,-0.562231,-9.798623,-0.002397,-0.002930,-0.002397
97363.039062,-0.438714,-0.115772,0.891138,-0.576601,-0.540676,-9.820178,-0.002131,0.001598,-0.001332
97393.515625,-0.433516,-0.121689,0.892892,-0.573008,-0.553249,-9.812993,-0.003995,-0.000799,-0.002131
97383.375000,-0.444816,-0.115774,0.888108,-0.598156,-0.565823,-9.823771,-0.001864,-0.002397,-0.000533
97388.023438,-0.444911,-0.113885,0.888304,-0.581990,-0.542472,-9.800420,-0.001332,-0.003196,-0.003462
97380.726562,-0.438346,-0.111109,0.891912,-0.567620,-0.542472,-9.798623,-0.004794,-0.002131,-0.000266
97377.921875,-0.441845,-0.114270,0.889784,-0.569416,-0.551453,-9.782456,-0.002930,0.000533,-0.002131
97377.375000,-0.435289,-0.111105,0.893409,-0.580193,-0.547861,-9.805808,-0.003462,0.001864,-0.001864
97378.007812,-0.435732,-0.114265,0.892794,-0.587379,-0.546064,-9.811197,-0.005060,-0.004794,-0.001065
97375.359375,-0.437559,-0.114345,0.891890,-0.571212,-0.551453,-9.795031,-0.004528,-0.004261,-0.003729
