t,u,v,q,theta,x,h,Va,alpha,gyrq,accx,accz,pitotVa,baroAlt,thetahat,de,dt,spAirspeed,spPitch,spAltitude
0.920992,15.762410,1.815353,0.046109,0.010099,14.069950,99.081830,15.866600,0.114665,0.075688,0.193922,-10.798650,15.775610,98.809140,0.021264,-0.268167,0.000000,15.000000,0.115241,110.000000
0.921992,15.763290,1.815153,0.045712,0.010145,14.085730,99.080170,15.867450,0.114646,0.075688,0.193922,-10.798650,15.775610,98.809140,0.021264,-0.268539,0.000000,15.000000,0.115241,110.000000
0.922992,15.764160,1.814950,0.045346,0.010190,14.101510,99.078510,15.868300,0.114627,0.075688,0.193922,-10.798650,15.775610,98.809140,0.021264,-0.268893,0.000000,15.000000,0.115241,110.000000
0.923992,15.765050,1.814745,0.045008,0.010235,14.117290,99.076860,15.869150,0.114608,0.075688,0.193922,-10.798650,15.775610,98.809140,0.021264,-0.269229,0.000000,15.000000,0.115241,110.000000
0.924992,15.765930,1.814538,0.044698,0.010280,14.133080,99.075200,15.870010,0.114588,0.066436,0.192805,-10.698780,15.806650,98.499190,0.020750,-0.269549,0.000000,15.000000,0.115241,110.000000
0.925992,15.766820,1.814329,0.044413,0.010325,14.148860,99.073550,15.870860,0.114569,0.066436,0.192805,-10.698780,15.806650,98.499190,0.020750,-0.269853,0.000000,15.000000,0.115241,110.000000
0.926992,15.767710,1.814118,0.044154,0.010369,14.164650,99.071900,15.871720,0.114549,0.066436,0.192805,-10.698780,15.806650,98.499190,0.020750,-0.270142,0.000000,15.000000,0.115241,110.000000
0.927992,15.768600,1.813907,0.043919,0.010413,14.180430,99.070250,15.872590,0.114529,0.066436,0.192805,-10.698780,15.806650,98.499190,0.020750,-0.270417,0.000000,15.000000,0.115241,110.000000
0.928992,15.769490,1.813694,0.043706,0.010457,14.196220,99.068600,15.873450,0.114510,0.066436,0.192805,-10.698780,15.806650,98.499190,0.020750,-0.270679,0.000000,15.000000,0.115241,110.000000
0.929992,15.770390,1.813481,0.043515,0.010500,14.212010,99.066960,15.874310,0.114490,0.066436,0.192805,-10.698780,15.806650,98.499190,0.020750,-0.270928,0.000000,15.000000,0.115241,110.000000
0.930992,15.771290,1.813267,0.043345,0.010544,14.227800,99.065310,15.875180,0.114470,0.066436,0.192805,-10.698780,15.806650,98.499190,0.020750,-0.271165,0.000000,15.000000,0.115241,110.000000
0.931992,15.772190,1.813053,0.043195,0.010587,14.243590,99.063660,15.876050,0.114450,0.066436,0.192805,-10.698780,15.806650,98.499190,0.020750,-0.271391,0.000000,15.000000,0.115241,110.000000
0.932992,15.773090,1.812840,0.043064,0.010630,14.259380,99.062010,15.876920,0.114430,0.066436,0.192805,-10.698780,15.806650,98.499190,0.020750,-0.271605,0.000000,15.000000,0.115241,110.000000
0.933992,15.773990,1.812626,0.042951,0.010673,14.275170,99.060360,15.877800,0.114411,0.066436,0.192805,-10.698780,15.806650,98.499190,0.020750,-0.271809,0.000000,15.000000,0.115241,110.000000
0.934992,15.774900,1.812413,0.042855,0.010716,14.290960,99.058720,15.878670,0.114391,0.066436,0.192805,-10.698780,15.806650,98.499190,0.020750,-0.272003,0.000000,15.000000,0.115241,110.000000
0.935992,15.775800,1.812201,0.042777,0.010759,14.306760,99.057080,15.879550,0.114371,0.062782,0.187287,-10.617380,15.783430,97.118460,0.020216,-0.272187,0.000000,15.000000,0.115241,110.000000
0.936992,15.776710,1.811989,0.042714,0.010802,14.322550,99.055440,15.880430,0.114351,0.062782,0.187287,-10.617380,15.783430,97.118460,0.020216,-0.272363,0.000000,15.000000,0.115241,110.000000
0.937992,15.777620,1.811778,0.042666,0.010844,14.338350,99.053800,15.881300,0.114331,0.062782,0.187287,-10.617380,15.783430,97.118460,0.020216,-0.272530,0.000000,15.000000,0.115241,110.000000
0.938992,15.778530,1.811569,0.042633,0.010887,14.354140,99.052160,15.882180,0.114312,0.062782,0.187287,-10.617380,15.783430,97.118460,0.020216,-0.272688,0.000000,15.000000,0.115241,110.000000
0.939992,15.779440,1.811360,0.042613,0.010930,14.369940,99.050520,15.883070,0.114292,0.062782,0.187287,-10.617380,15.783430,97.118460,0.020216,-0.272840,0.000000,15.000000,0.115241,110.000000
0.940992,15.780350,1.811153,0.042607,0.010972,14.385740,99.048880,15.883950,0.114273,0.062782,0.187287,-10.617380,15.783430,97.118460,0.020216,-0.272983,0.000000,15.000000,0.115241,110.000000
0.941991,15.781260,1.810948,0.042614,0.011015,14.401540,99.047240,15.884830,0.114253,0.062782,0.187287,-10.617380,15.783430,97.118460,0.020216,-0.273120,0.000000,15.000000,0.115241,110.000000
0.942991,15.782180,1.810744,0.042633,0.011058,14.417340,99.045600,15.885710,0.114234,0.062782,0.187287,-10.617380,15.783430,97.118460,0.020216,-0.273250,0.000000,15.000000,0.115241,110.000000
0.943991,15.783090,1.810542,0.042664,0.011100,14.433140,99.043970,15.886600,0.114215,0.062782,0.187287,-10.617380,15.783430,97.118460,0.020216,-0.273374,0.000000,15.000000,0.115241,110.000000
0.944991,15.784010,1.810342,0.042705,0.011143,14.448940,99.042340,15.887490,0.114196,0.062782,0.187287,-10.617380,15.783430,97.118460,0.020216,-0.273491,0.000000,15.000000,0.115241,110.000000
0.945991,15.784920,1.810144,0.042758,0.011186,14.464750,99.040700,15.888370,0.114177,0.062782,0.187287,-10.617380,15.783430,97.118460,0.020216,-0.273603,0.000000,15.000000,0.115241,110.000000
0.946991,15.785840,1.809948,0.042820,0.011228,14.480550,99.039070,15.889260,0.114158,0.054703,0.183856,-10.571710,15.787510,98.074040,0.019649,-0.273709,0.000000,15.000000,0.115241,110.000000
0.947991,15.786750,1.809755,0.042893,0.011271,14.496360,99.037440,15.890150,0.114139,0.054703,0.183856,-10.571710,15.787510,98.074040,0.019649,-0.273811,0.000000,15.000000,0.115241,110.000000
0.948991,15.787670,1.809564,0.042975,0.011314,14.512160,99.035800,15.891040,0.114121,0.054703,0.183856,-10.571710,15.787510,98.074040,0.019649,-0.273907,0.000000,15.000000,0.115241,110.000000
0.949991,15.788590,1.809375,0.043065,0.011357,14.527970,99.034170,15.891930,0.114102,0.054703,0.183856,-10.571710,15.787510,98.074040,0.019649,-0.273999,0.000000,15.000000,0.115241,110.000000
0.950991,15.789510,1.809188,0.043165,0.011400,14.543780,99.032540,15.892820,0.114084,0.054703,0.183856,-10.571710,15.787510,98.074040,0.019649,-0.274086,0.000000,15.000000,0.115241,110.000000
0.951991,15.790420,1.809005,0.043273,0.011444,14.559590,99.030910,15.893710,0.114066,0.054703,0.183856,-10.571710,15.787510,98.074040,0.019649,-0.274169,0.000000,15.000000,0.115241,110.000000
0.952991,15.791340,1.808824,0.043388,0.011487,14.575400,99.029290,15.894600,0.114048,0.054703,0.183856,-10.571710,15.787510,98.074040,0.019649,-0.274247,0.000000,15.000000,0.115241,110.000000
0.953991,15.792260,1.808645,0.043511,0.011530,14.591210,99.027660,15.895490,0.114031,0.054703,0.183856,-10.571710,15.787510,98.074040,0.019649,-0.274322,0.000000,15.000000,0.115241,110.000000
0.954991,15.793180,1.808470,0.043641,0.011574,14.607020,99.026040,15.896390,0.114013,0.054703,0.183856,-10.571710,15.787510,98.074040,0.019649,-0.274394,0.000000,15.000000,0.115241,110.000000
0.955991,15.794100,1.808298,0.043779,0.011618,14.622840,99.024410,15.897280,0.113996,0.054703,0.183856,-10.571710,15.787510,98.074040,0.019649,-0.274462,0.000000,15.000000,0.115241,110.000000
