Ref,Val,Package,PosX,PosY,Rot,Side
"C3","2u2","C_0805_2012Metric",39.469300,-47.625000,0.000000,bottom
"C4","2u2","C_0805_2012Metric",39.471600,-45.593000,0.000000,bottom
"C5","100n","C_0805_2012Metric",42.217100,-39.471600,180.000000,bottom
"C6","100n","C_0805_2012Metric",43.103800,-43.561000,180.000000,bottom
"C7","4n7","C_0805_2012Metric",34.952700,-43.561000,0.000000,bottom
"C29","1u","C_0603_1608Metric",97.713800,-58.953400,90.000000,bottom
"C30","100n","C_0402_1005Metric",96.291400,-58.953400,90.000000,bottom
"C50","1u","C_0603_1608Metric",68.757800,-70.002400,90.000000,bottom
"C51","100n","C_0402_1005Metric",67.310000,-70.002400,90.000000,bottom
"C67","10n","C_0402_1005Metric",39.801800,-75.791200,90.000000,bottom
"D1","SD103AWS","D_SOD-323",38.896000,-37.566600,180.000000,bottom
"R2","10k","R_0805_2012Metric",34.952700,-45.618400,0.000000,bottom
"R3","10k","R_0805_2012Metric",39.469300,-43.561000,0.000000,bottom
"R4","19k6","R_0805_2012Metric",39.473900,-41.503600,180.000000,bottom
"R5","6k8","R_0805_2012Metric",34.952700,-41.503600,0.000000,bottom
"R6","1k3","R_0805_2012Metric",34.952700,-39.446200,0.000000,bottom
"R9","4k7","R_0402_1005Metric",96.416000,-50.901600,0.000000,bottom
"R10","4k7","R_0402_1005Metric",96.416000,-49.733200,0.000000,bottom
"R13","4k7","R_0402_1005Metric",105.229800,-55.321200,0.000000,bottom
"R14","4k7","R_0402_1005Metric",105.232200,-56.489600,0.000000,bottom
"R40","10","R_0402_1005Metric",99.972000,-57.556400,0.000000,bottom
"R41","10","R_0402_1005Metric",99.972000,-56.438800,0.000000,bottom
"R42","10","R_0402_1005Metric",99.974400,-55.321200,0.000000,bottom
"R43","10","R_0402_1005Metric",99.972000,-54.203600,0.000000,bottom
"R44","10","R_0402_1005Metric",99.972000,-53.086000,0.000000,bottom
"R45","10","R_0402_1005Metric",99.972000,-51.968400,0.000000,bottom
"R46","10","R_0402_1005Metric",99.974400,-50.850800,0.000000,bottom
"R47","10","R_0402_1005Metric",99.972000,-49.733200,0.000000,bottom
"R50","0","R_0603_1608Metric",71.729600,-68.376800,90.000000,bottom
"R51","0","R_0603_1608Metric",73.431400,-68.376800,90.000000,bottom
