Designator, Quantity, Value, Footprint,LCSC Part #
C14 C15 ,2,2u2,402,C159814
C20 C21 ,2,10p,402,C32949
C22 C1 C2 ,3,1u,402,C52923
C23 C4 C5 C6 C7 C8 C9 C10 C11 C12 C18 C19 C25 C16 C28 C13 C30 C29 C17 C26 C27 ,21,100n,402,C1525
C24 ,1,1n,402,C1523
C3 ,1,10u,402,C15525
F1 ,1,TLC-FSMD050,603,C261937
FB2 FB1 ,2,SDCL1005C10NJTDF,402,C27147
FLASH1 ,1,W25N01GVZEIG,WSON-8_EP_6.0x8.0x1.27P,C88868
HSE1 ,1,ABM8-16.000MHZ-B2-T,SMD-3225_4P,C179641
IMU1 ,1,BMX055,LGA-20_3.0x4.5x0.5P,C94022
MCU1 ,1,STM32F405RGT6,LQFP-64_10.0x10.0x0.5P,C15742
R10 ,1,470,402,C25117
R13 R11 ,2,22,402,C25092
R14 R12 R16 R17 ,4,10k,402,C25744
R3 R4 R5 ,3,1k,402,C11702
R6 R7 R8 R9 R1 R2 R15 ,7,2k2,402,C25879
U1 ,1,AP2112K-3.3,SOT-25-5,C51118
U3 ,1,CAT24C256,SOIC-8_3.9x4.9x1.27P,C79987
U4 ,1,USBLC6-2SC6,SOT-23-6L,C7519
U5 ,1,"74AHC1GU04GW,125",SOT-353,C5514
U6 ,1,CH340E,MSOP-10_3.0x3.0x0.5P,C99652
