Designator,Mid X,Mid Y,Rotation,Layer
C1,16.068,-5.527,270,T
C2,21.529,-5.527,270,T
C3,21.7575,-19.37,180,T
C4,24.473,-19.37,0,T
C5,22.695,-20.767,180,T
C6,34.483,-21.91,0,T
C7,34.483,-20.767,0,T
C8,32.832,-33.19,270,T
C9,33.975,-33.19,270,T
C10,24.981,-34.102,180,T
C11,24.981,-35.118,180,T
C12,21.656,-21.91,180,T
C13,16.7816,-9.6926,180,T
C14,32.047,-34.6354,0,T
C15,35.9054,-23.18,0,T
C16,18.8112,-31.4096,180,T
C17,38.6486,-17.4928,270,T
C18,24.8056,-13.2994,0,T
C19,24.9858,-18.1762,180,T
C20,16.703,-21.529,0,T
C21,16.703,-27.498,180,T
C22,19.37,-28.7402,90,T
C23,20.513,-28.7402,90,T
C24,35.3974,-35.7784,270,T
C25,41.976,-38.2192,90,T
C26,32.6264,-11.7246,180,T
C27,39.1034,-40.452,180,T
C28,32.324,-36.9444,90,T
C29,32.6264,-10.5816,180,T
C30,18.1508,-39.9924,270,T
D1,11.0134,-32.1122,270,T
D2,37.785,-24.2213,270,T
D3,39.4868,-24.2213,270,T
D4,13.2994,-27.0407,270,T
D5,11.5468,-27.0407,270,T
D6,36.3286,-17.0078,0,T
D7,41.1378,-8.3463,270,T
F1,41.2394,-17.7953,90,T
FB1,39.7916,-17.4928,270,T
FB2,17.742,-29.2252,180,T
FLASH1,27.0408,-38.9788,270,T
HSE1,16.742,-24.493,270,T
IMU1,25.0508,-15.814,0,T
MCU1,28.0508,-26.7554,270,T
PWR1,18.8365,-2.987,0,T
R1,18.862,-1.463,0,T
R2,37.785,-21.5798,90,T
R3,39.4868,-21.5774,90,T
R4,13.2994,-24.3714,90,T
R5,11.5468,-24.3738,90,T
R6,20.4876,-10.1728,270,T
R7,19.0398,-10.1752,270,T
R8,47.8434,-30.8738,270,T
R9,46.548,-30.8738,270,T
R10,19.647,-25.593,180,T
R11,35.6514,-13.528,90,T
R12,21.2472,-39.6138,0,T
R13,36.896,-13.528,90,T
R14,32.7836,-38.8264,0,T
R15,41.1378,-5.5754,270,T
R16,10.4268,-44.7954,180,T
R17,17.8992,-44.7954,180,T
U1,18.778,-6.035,180,T
U2,14.417,-15.56,0,T
U3,16.83,-34.864,270,T
U4,40.0632,-14.3408,180,T
U5,41.595,-41.407,270,T
U6,36.6928,-10.734,90,T
