Designator,Quantity,Value,Footprint,LCSC Part #
"C1, C2, C7, ",3,10u,1206,C13585
"C3, C9, C10, C11, C12, C13, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C27, C32, ",19,100n,0402,C1525
"C4, ",1,33p,0603,C1663
"C5, ",1,100n,0603,C14663
"C6, ",1,4u7,1206,C29823
"C8, ",1,1u,0603,C15849
"C14, ",1,10u,0805,C15850
"C26, ",1,1u,0402,C52923
"C28, C29, ",2,12p,0402,C1547
"C30, C31, ",2,2u2,0603,C23630
"D1, D3, ",2,B5819W,SOD-123,C8598
"D2, D6, ",2,GR,0603,C72043
"D4, D8, ",1,RE,0603,C2286
"D5, ",1,YE,0603,C72038
"D7, ",1,BL,0603,C72041
"F1, ",1,500mA,1206,C369155
"FB1, ",1,100 @ 100 MHz,0805,C1015
"L1, ",1,10u,SMD-PIND-5.2x5.4x2.8_1.2x2.2,C139506
"L2, ",1,68n,0402,C26443
"Q1, ",1,AO3401A,SOT-23-3L,C15127
"Q2, Q3, Q4, Q5, Q6, Q7, ",6,MMBT3904,SOT-23-3,C20526
"R1, ",1,0.25,1206,C247450
"R2, ",1,120k,0603,C25808
"R3, ",1,39k,0603,C23153
"R4, ",1,100k,0402,C25741
"R6, R8, R10, R12, R14, R25, ",5,1k,0603,C21190
"R7, ",1,47,0402,C25118
"R9, R11, R13, R15, R24, ",5,10k,0402,C25744
"R16, R18, ",2,10k,0603,C25804
"R17, R19, ",2,4k7,0402,C25900
"R20, R21, R22, R23, ",4,2k2,0402,C25879
"U1, ",1,INA219AIDCNR,SOT-23-8,C87469
"U2, ",1,MP2451DT-LF-Z,SOT-23-6L,C14123
"U3, ",1,SRV05-4,SOT-23-6L,C85364
"U4, ",1,W25Q128JVS,SOIC-8_5.3x5.3x1.27P,C97521
"U5, ",1,BMP280,LGA-8_2.0x2.5x0.65P,C83291
"U6, ",1,BMX055,LGA-20_3.0x4.5x0.5P,C94022
"U7, ",1,STM32H750VBT6,LQFP-100_14.0x14.0x0.5P,C404010
"Y1, ",1,16 MHz,SMD-3225_4P,C13738
